Model,Scenario,Variable
CESM1,shp_60p_red,drybc
CESM1,shp_60p_red_1950,rsut
CESM1,shp_60p_red_1950,emiso2
CESM1,shp_60p_red_1950,rlutcs
CESM1,shp_60p_red_1950,rsutcs
CESM1,shp_60p_red_1950,od550aer
CESM1,shp_60p_red_1950,clivi
CESM1,shp_60p_red_1950,drybc
CESM1,shp_60p_red_1950,wetbc
CESM1,shp_60p_red_1950,dryso4
CESM1,shp_60p_red_1950,rlut
CESM1,shp_60p_red_1950,wetso4
CESM1,shp_atl_shift,wetso4
CESM1,shp_ind_shift,dms
E3SM,shp_30p_red,mmrso4
E3SM,shp_30p_red,wetso2
E3SM,shp_60p_red,mmrso4
E3SM,shp_60p_red,wetso2
E3SM,shp_60p_red_1950,wetso2
E3SM,shp_atl_shift,loadso2
E3SM,shp_atl_shift,loadbc
E3SM,shp_atl_shift,wetbc
E3SM,shp_atl_shift,wetso2
E3SM,shp_ind_shift,mmrso4
E3SM,shp_ind_shift,wetso2
E3SM,shp_ind_shift,loadso2
E3SM,shp_ind_shift,loadso4
E3SM,shp_ind_shift,loadbc
E3SM,shp_ind_shift_1950,wetso2
GISS-E2.1,shp_30p_red,emiso2
GISS-E2.1,shp_30p_red,rsdt
GISS-E2.1,shp_60p_red,emiso2
GISS-E2.1,shp_60p_red,rsdt
E3SM,shp_atl_shift,wetso4
E3SM,shp_atl_shift_1950,wetso2
GISS-E2.1,shp_30p_red,wetso2
GISS-E2.1,shp_60p_red,wetso2
GISS-E2.1,shp_60p_red_1950,wetso2
GISS-E2.1,shp_atl_shift,wetso2
GISS-E2.1,shp_atl_shift_1950,wetso2
GISS-E2.1,shp_ind_shift,wetso2
GISS-E2.1,shp_ind_shift_1950,wetso2
GEOS,shp_60p_red,loadso2
GEOS,shp_60p_red,loadso4
GEOS,shp_30p_red,loadso2
GEOS,shp_30p_red,loadso4
GEOS,shp_60p_red_1950,loadso2
GEOS,shp_60p_red_1950,loadso4
GEOS,shp_atl_shift,loadso2
GEOS,shp_atl_shift,loadso4
GEOS,shp_atl_shift_1950,loadso2
GEOS,shp_atl_shift_1950,loadso4
GEOS,shp_ind_shift,loadso2
GEOS,shp_ind_shift,loadso4
GEOS,shp_ind_shift_1950,loadso2
GEOS,shp_ind_shift_1950,loadso4
