Variable,Max,Min,plot_names,description_diff,,sd_max,sd_min
emibc,0,0,surface flux of BC,expression(Delta*~emibc~(kg~m^-2~s^-1)),,0,0
emiso2,0,0,surface flux of SO2,expression(Delta*~emiso2~(kg~m^-2~s^-1)),,0,0
mmrbc,0,0,surface concentration of BC,expression(Delta*~mmrbc~(kg~kg-1)),,0,0
mmrso4,0,0,surface concentration of SO4,expression(Delta*~mmrso4~(kg~kg-1)),,0,0
so2,0,0,surface concentration of SO2,expression(Delta*~so2~(kg~kg-1)),,0,0
rlut,0,0,upwelling longwave flux at TOA,expression(Delta*~rlut~(W~m-2)),,0,0
rsut,0,0,upwelling shortwave flux at TOA,expression(Delta*~rsut~(W~m-2)),,0,0
rsdt,0,0,incident shortwave flux at TOA,expression(Delta*~rsdt~(W~m-2)),,0,0
rlutcs,0,0,upwelling clear-sky longwave flux at TOA,expression(Delta*~rlutcs~(W~m-2)),,0,0
rsutcs,0,0,upwelling clear-sky shortwave flux at TOA,expression(Delta*~rsutcs~(W~m-2)),,0,0
drybc,0,0,dry deposition rate of BC,expression(Delta*~drybc~(kg~m^-2~s^-1)),,0,0
wetbc,0,0,wet deposition rate of BC,expression(Delta*~wetbc~(kg~m^-2~s^-1)),,0,0
dryso2,0,0,dry deposition rate of so2,expression(Delta*~dryso2~(kg~m^-2~s^-1)),,0,0
wetso2,0,0,wet deposition rate of so2,expression(Delta*~wetso2~(kg~m^-2~s^-1)),,0,0
dryso4,0,0,dry deposition rate of so4,expression(Delta*~dryso4~(kg~m^-2~s^-1)),,0,0
wetso4,0,0,wet deposition rate of so4,expression(Delta*~wetso4~(kg~m^-2~s^-1)),,0,0
od550aer,0,0,ambient aerosol optical thickness at 550nm,expression(Delta*~od550aer),,0,0
clt,0,0,total cloud cover percentage,expression(Delta*~clt~(percent)),,0,0
cltc,0,0,convective cloud cover percentage,expression(Delta*cltc~(percent)),,0,0
net_rad,0,0,net radiative flux at TOA,expression(Delta*~rlut~+~rsut~(W~m-2)),,0,0
net_rad_cs,0,0,clear-sky net radiative flux at TOA,expression(Delta*~rlutcs~+~rsutcs~(W~m-2)),,0,0
tot_bc,0,0,total deposition rate of BC,expression(Delta*~drybc~+~wetbc~(kg~m-2~s-1)),,0,0
wet_s,0,0,wet deposition rate of S,expression(Delta*~wetso2~+~wetso4~(kg~m-2~s-1)),,0,0
dry_s,0,0,dry deposition rate of S,expression(Delta*~dryso2~+~dryso4~(kg~m-2~s-1)),,0,0
tot_s,0,0,total deposition rate of S,"expression(atop((dryso2~+~wetso2)/2~+~(dryso4~+~wetso4)/3, (kg~m^-2~s^-1)))",,0,0
imp_cld,0,0,implied cloud response at TOA ,expression(Delta*~rlut~+~rsut~-~rlutcs~-~rsutcs~(W~m^-2)),,0,0
